Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Postal Code,Market,Product ID,Category,Sub-Category,Brand,Product Name,Sales Channel,Store ID,Order Priority,Payment Mode,Quantity,Unit Price,Discount,COGS,Sales,Profit,Returned,Promo Applied
ORD-2020-000019,2022-02-21,2022-02-24,Standard Class,CUST-2127,Sneha Mondal,Consumer,India,Delhi,Delhi,North,408831,APAC,BAK-BUN-2171,Bakery,Buns,Harvest Gold,Harvest Gold Buns,Online,SM102,Medium,UPI,2,195.21,0.0,296.22,390.42,94.2,0,1
ORD-2021-000020,2023-10-01,2023-10-02,Standard Class,CUST-2891,Priya Mehta,Consumer,India,Chennai,Tamil Nadu,South,272999,APAC,BAK-CAK-2201,Bakery,Cakes,Monginis,Monginis Cakes,Offline,SM121,Medium,Wallet,3,259.63,0.09,589.83,708.79,118.96,0,0
ORD-2022-000021,2020-09-15,2020-09-18,First Class,CUST-1058,Neha Khan,Corporate,India,Kolkata,West Bengal,East,384681,APAC,BEV-TEA-4534,Beverages,Tea,Twinings,Twinings Tea,Online,SM108,Medium,UPI,2,81.88,0.14,116.08,140.83,24.75,0,0
ORD-2023-000022,2023-08-10,2023-08-14,Second Class,CUST-8041,Rahul Sharma,Home Office,India,Pune,Maharashtra,West,433233,APAC,DAI-GHE-6050,Dairy,Ghee,Amul,Amul Ghee,Offline,SM128,High,COD,3,79.42,0.0,195.18,238.26,43.08,0,1
ORD-2024-000023,2023-02-05,2023-02-08,Second Class,CUST-3900,Vikram Sharma,Consumer,India,Mumbai,Maharashtra,West,298074,APAC,BAK-MUF-3879,Bakery,Muffins,Local Bakery,Local Bakery Muffins,Offline,SM111,Medium,Card,2,267.82,0.09,295.42,487.43,192.01,0,0
ORD-2019-000024,2022-07-24,2022-07-25,Same Day,CUST-4644,Sneha Gupta,Corporate,India,Pune,Maharashtra,West,476644,APAC,HOU-DET-0635,Household,Detergent,Ghadi,Ghadi Detergent,Offline,SM105,High,NetBanking,4,121.66,0.14,321.16,418.51,97.35,0,0
ORD-2020-000025,2020-07-16,2020-07-21,Same Day,CUST-9785,Neha Sharma,Corporate,India,Hyderabad,Telangana,South,230945,APAC,BEV-JUI-8347,Beverages,Juice,Paperboat,Paperboat Juice,Online,SM127,Medium,UPI,4,139.07,0.1,411.28,500.65,89.37,0,0
ORD-2021-000026,2020-10-20,2020-10-23,First Class,CUST-7311,Isha Singh,Corporate,India,Surat,Gujarat,West,377096,APAC,HOU-SHA-9933,Household,Shampoo,Pantene,Pantene Shampoo,Offline,SM111,Low,Card,3,483.04,0.0,1131.12,1449.12,318.0,0,0
ORD-2022-000027,2020-08-29,2020-09-04,First Class,CUST-6409,Isha Mondal,Home Office,India,Jaipur,Rajasthan,North,240680,APAC,HOU-SOA-7067,Household,Soap,Lifebuoy,Lifebuoy Soap,Offline,SM123,High,Card,6,54.85,0.0,265.2,329.1,63.9,0,0
ORD-2023-000028,2023-10-25,2023-10-30,Standard Class,CUST-7653,Rohit Sharma,Home Office,India,Chennai,Tamil Nadu,South,428636,APAC,DAI-CHE-2852,Dairy,Cheese,Go,Go Cheese,Offline,SM104,Medium,Card,3,91.25,0.0,226.95,273.75,46.8,0,0
ORD-2024-000029,2021-02-23,2021-02-28,Standard Class,CUST-9445,Isha Mondal,Home Office,India,Surat,Gujarat,West,207924,APAC,BAK-MUF-1390,Bakery,Muffins,Local Bakery,Local Bakery Muffins,Offline,SM106,Medium,Card,3,35.07,0.07,62.19,97.85,35.66,0,0
ORD-2019-000030,2023-03-10,2023-03-11,Second Class,CUST-7291,Ananya Iyer,Consumer,India,Chennai,Tamil Nadu,South,365837,APAC,BAK-BRE-6791,Bakery,Bread,Local Bakery,Local Bakery Bread,Online,SM115,Low,COD,3,217.04,0.0,480.78,651.12,170.34,0,0
ORD-2020-000031,2024-06-05,2024-06-06,Same Day,CUST-3184,Ananya Mehta,Home Office,India,Delhi,Delhi,North,696076,APAC,SNA-CHI-1989,Snacks,Chips,Bingo,Bingo Chips,Offline,SM116,High,Card,1,50.94,0.0,35.13,50.94,15.81,0,1
ORD-2021-000032,2021-04-17,2021-04-19,Standard Class,CUST-5050,Karan Mehta,Home Office,India,Ahmedabad,Gujarat,West,618137,APAC,DAI-CRE-7374,Dairy,Cream,Millennium,Millennium Cream,Offline,SM114,Medium,UPI,2,147.1,0.23,209.22,226.53,17.31,0,0
ORD-2022-000033,2019-09-26,2019-10-02,Second Class,CUST-4505,Priya Iyer,Home Office,India,Delhi,Delhi,North,537399,APAC,DAI-YOG-6276,Dairy,Yogurt,Nestle,Nestle Yogurt,Offline,SM102,Medium,Card,5,98.5,0.0,376.45,492.5,116.05,0,0
ORD-2023-000034,2024-04-15,2024-04-17,First Class,CUST-6763,Karan Iyer,Home Office,India,Mumbai,Maharashtra,West,549376,APAC,BEV-ENE-7815,Beverages,Energy Drink,Power Horse,Power Horse Energy Drink,Online,SM122,High,Card,3,26.57,0.06,47.97,74.93,26.96,0,0
ORD-2024-000035,2020-12-04,2020-12-07,Same Day,CUST-3091,Isha Mehta,Corporate,India,Surat,Gujarat,West,138277,APAC,SNA-NOO-2705,Snacks,Noodles,Knorr,Knorr Noodles,Offline,SM100,Medium,Card,4,43.94,0.0,128.92,175.76,46.84,0,0
ORD-2019-000036,2021-12-28,2021-12-29,Same Day,CUST-6355,Neha Iyer,Consumer,India,Mumbai,Maharashtra,West,401774,APAC,PRO-ONI-3468,Produce,Onions,White,White Onions,Online,SM101,High,Card,3,56.16,0.01,108.39,166.8,58.41,0,1
ORD-2020-000037,2020-07-04,2020-07-06,First Class,CUST-5051,Sneha Sharma,Consumer,India,Chennai,Tamil Nadu,South,269785,APAC,DAI-CRE-0660,Dairy,Cream,Amul,Amul Cream,Offline,SM111,High,Card,1,245.39,0.0,169.17,245.39,76.22,0,0
ORD-2021-000038,2023-06-20,2023-06-25,Standard Class,CUST-2771,Isha Sharma,Corporate,India,Delhi,Delhi,North,437111,APAC,BAK-CRO-2684,Bakery,Croissants,ITC,ITC Croissants,Offline,SM105,Medium,Card,1,200.19,0.0,149.66,200.19,50.53,0,1
ORD-2022-000039,2023-08-15,2023-08-18,First Class,CUST-1672,Neha Mehta,Home Office,India,Pune,Maharashtra,West,559187,APAC,HOU-SOA-4942,Household,Soap,Lux,Lux Soap,Online,SM126,Low,UPI,1,122.87,0.12,88.71,108.13,19.42,0,0
ORD-2023-000040,2019-01-12,2019-01-13,Second Class,CUST-9548,Karan Reddy,Corporate,India,Kolkata,West Bengal,East,674316,APAC,HOU-TOO-7136,Household,Toothpaste,Pepsodent,Pepsodent Toothpaste,Online,SM111,Medium,Card,5,103.25,0.08,286.75,474.95,188.2,0,0
ORD-2024-000041,2021-04-05,2021-04-08,Same Day,CUST-6511,Amit Gupta,Consumer,India,Surat,Gujarat,West,450803,APAC,SNA-BIS-9337,Snacks,Biscuits,Oreo,Oreo Biscuits,Online,SM108,High,NetBanking,1,32.47,0.02,23.99,31.82,7.83,0,0
ORD-2019-000042,2022-01-27,2022-01-29,Second Class,CUST-7658,Ananya Mehta,Corporate,India,Chennai,Tamil Nadu,South,361998,APAC,BEV-ENE-1403,Beverages,Energy Drink,Monster,Monster Energy Drink,Online,SM117,High,NetBanking,3,160.4,0.0,318.36,481.2,162.84,0,0
ORD-2020-000043,2024-10-10,2024-10-12,Standard Class,CUST-7971,Rohit Mondal,Corporate,India,Ahmedabad,Gujarat,West,478901,APAC,DAI-BUT-7754,Dairy,Butter,Mother Dairy,Mother Dairy Butter,Online,SM122,Medium,COD,6,199.69,0.0,799.02,1198.14,399.12,0,0
ORD-2021-000044,2019-03-17,2019-03-19,Same Day,CUST-5530,Isha Mehta,Home Office,India,Chennai,Tamil Nadu,South,406746,APAC,HOU-SOA-3546,Household,Soap,Dove,Dove Soap,Online,SM117,Medium,UPI,1,199.65,0.0,167.12,199.65,32.53,1,1
ORD-2022-000045,2020-01-31,2020-02-02,Standard Class,CUST-3068,Ananya Patel,Home Office,India,Chennai,Tamil Nadu,South,122862,APAC,PRO-APP-9067,Produce,Apples,Kinnaur,Kinnaur Apples,Online,SM104,Low,COD,2,84.44,0.14,126.96,145.24,18.28,0,0
ORD-2023-000046,2022-05-23,2022-05-26,First Class,CUST-3485,Rahul Reddy,Corporate,India,Ahmedabad,Gujarat,West,428595,APAC,BEV-SOF-1214,Beverages,Soft Drink,Fanta,Fanta Soft Drink,Online,SM103,Medium,Wallet,3,140.38,0.0,320.79,421.14,100.35,0,0
ORD-2024-000047,2022-05-02,2022-05-03,Standard Class,CUST-8025,Karan Reddy,Consumer,India,Jaipur,Rajasthan,North,173157,APAC,BAK-MUF-7254,Bakery,Muffins,ITC,ITC Muffins,Offline,SM124,High,UPI,5,291.07,0.0,837.5,1455.35,617.85,0,0
ORD-2019-000048,2022-04-20,2022-04-24,Same Day,CUST-8381,Isha Gupta,Consumer,India,Hyderabad,Telangana,South,415408,APAC,BAK-BRE-0044,Bakery,Bread,Modern,Modern Bread,Offline,SM105,Low,Card,6,296.19,0.21,1110.06,1403.94,293.88,0,0
ORD-2020-000049,2023-08-11,2023-08-12,First Class,CUST-9922,Sneha Khan,Corporate,India,Chennai,Tamil Nadu,South,388536,APAC,HOU-CLE-6966,Household,Cleaner,Lizol,Lizol Cleaner,Offline,SM125,Medium,Card,2,218.24,0.0,255.46,436.48,181.02,0,0
ORD-2021-000050,2021-07-22,2021-07-24,Standard Class,CUST-9199,Rohit Gupta,Corporate,India,Bengaluru,Karnataka,South,569024,APAC,BEV-SOF-6595,Beverages,Soft Drink,Sprite,Sprite Soft Drink,Offline,SM114,High,UPI,4,123.87,0.0,391.76,495.48,103.72,0,0
ORD-2022-000051,2022-06-06,2022-06-08,First Class,CUST-3870,Ananya Mehta,Consumer,India,Pune,Maharashtra,West,573712,APAC,BAK-CRO-4416,Bakery,Croissants,ITC,ITC Croissants,Offline,SM121,Low,UPI,2,293.7,0.0,445.62,587.4,141.78,0,0
ORD-2023-000052,2021-11-01,2021-11-07,Second Class,CUST-6403,Vikram Gupta,Corporate,India,Surat,Gujarat,West,412219,APAC,SNA-NOO-1714,Snacks,Noodles,Top Ramen,Top Ramen Noodles,Online,SM111,Critical,NetBanking,1,28.96,0.18,16.43,23.75,7.32,0,0
ORD-2024-000053,2019-03-31,2019-04-02,Same Day,CUST-7770,Amit Singh,Consumer,India,Jaipur,Rajasthan,North,653624,APAC,SNA-NAM-8890,Snacks,Namkeen,Haldiram,Haldiram Namkeen,Online,SM124,Medium,COD,1,87.99,0.01,54.45,87.11,32.66,0,0
ORD-2019-000054,2021-07-13,2021-07-14,Second Class,CUST-3594,Karan Mehta,Corporate,India,Ahmedabad,Gujarat,West,124339,APAC,HOU-TOO-0473,Household,Toothpaste,Colgate,Colgate Toothpaste,Offline,SM114,Medium,Card,2,181.58,0.02,208.04,355.9,147.86,0,0
ORD-2020-000055,2021-05-26,2021-05-27,Same Day,CUST-8736,Sneha Gupta,Corporate,India,Delhi,Delhi,North,688044,APAC,HOU-SHA-6808,Household,Shampoo,Dove,Dove Shampoo,Online,SM129,High,COD,3,566.1,0.0,1143.6,1698.3,554.7,0,0
ORD-2021-000056,2023-06-22,2023-06-23,Standard Class,CUST-5891,Isha Reddy,Corporate,India,Surat,Gujarat,West,623426,APAC,SNA-NOO-0043,Snacks,Noodles,Top Ramen,Top Ramen Noodles,Online,SM124,High,NetBanking,5,158.86,0.0,468.75,794.3,325.55,0,0
ORD-2022-000057,2022-12-31,2023-01-03,Same Day,CUST-4826,Vikram Sharma,Corporate,India,Ahmedabad,Gujarat,West,443633,APAC,PRO-BAN-9369,Produce,Bananas,Cavendish,Cavendish Bananas,Online,SM129,Medium,UPI,2,11.5,0.0,17.66,23.0,5.34,0,0
ORD-2023-000058,2020-11-15,2020-11-18,Same Day,CUST-2633,Rohit Gupta,Consumer,India,Pune,Maharashtra,West,126094,APAC,BEV-COF-1645,Beverages,Coffee,Starbucks,Starbucks Coffee,Online,SM115,High,UPI,2,141.13,0.0,174.6,282.26,107.66,0,0
ORD-2024-000059,2020-11-04,2020-11-06,Same Day,CUST-6188,Ananya Mehta,Home Office,India,Bengaluru,Karnataka,South,147643,APAC,SNA-POP-5384,Snacks,Popcorn,ACT II,ACT II Popcorn,Online,SM122,Medium,UPI,2,139.26,0.0,222.66,278.52,55.86,0,0
ORD-2019-000060,2022-06-06,2022-06-09,Second Class,CUST-5906,Amit Sharma,Consumer,India,Chennai,Tamil Nadu,South,450132,APAC,HOU-TIS-7270,Household,Tissue,Origami,Origami Tissue,Offline,SM124,Medium,UPI,4,205.43,0.0,625.52,821.72,196.2,0,0
ORD-2020-000061,2024-11-15,2024-11-18,Same Day,CUST-4945,Ananya Reddy,Home Office,India,Kolkata,West Bengal,East,260070,APAC,DAI-YOG-1294,Dairy,Yogurt,Nestle,Nestle Yogurt,Online,SM125,Medium,Card,1,72.92,0.0,52.24,72.92,20.68,0,0
ORD-2021-000062,2024-10-29,2024-11-04,Standard Class,CUST-5901,Vikram Das,Corporate,India,Ahmedabad,Gujarat,West,589028,APAC,BAK-BUN-7238,Bakery,Buns,Britannia,Britannia Buns,Online,SM121,High,COD,4,40.94,0.0,97.28,163.76,66.48,0,0
ORD-2022-000063,2024-03-21,2024-03-24,Same Day,CUST-5497,Amit Reddy,Corporate,India,Pune,Maharashtra,West,161427,APAC,PRO-LEA-0360,Produce,Leafy Greens,Coriander,Coriander Leafy Greens,Offline,SM118,Medium,COD,4,111.92,0.0,308.0,447.68,139.68,0,0
ORD-2023-000064,2024-03-02,2024-03-04,First Class,CUST-1645,Karan Gupta,Consumer,India,Chennai,Tamil Nadu,South,144986,APAC,DAI-GHE-2241,Dairy,Ghee,Patanjali,Patanjali Ghee,Offline,SM120,High,Card,3,156.57,0.0,352.41,469.71,117.3,0,0
ORD-2024-000065,2020-08-26,2020-08-28,Standard Class,CUST-8894,Karan Mondal,Consumer,India,Delhi,Delhi,North,230765,APAC,BAK-CAK-2696,Bakery,Cakes,Local Bakery,Local Bakery Cakes,Offline,SM104,Medium,Card,1,64.11,0.12,35.87,56.42,20.55,0,0
ORD-2019-000066,2024-09-25,2024-09-28,First Class,CUST-8451,Neha Das,Home Office,India,Hyderabad,Telangana,South,509535,APAC,BEV-SOF-4333,Beverages,Soft Drink,Coke,Coke Soft Drink,Offline,SM111,Critical,UPI,3,107.79,0.02,185.79,316.9,131.11,0,1
ORD-2020-000067,2020-09-16,2020-09-19,Standard Class,CUST-7689,Priya Khan,Home Office,India,Delhi,Delhi,North,157550,APAC,BAK-BUN-7607,Bakery,Buns,Britannia,Britannia Buns,Offline,SM110,Medium,Card,2,263.97,0.0,446.58,527.94,81.36,0,0
ORD-2021-000068,2021-06-01,2021-06-05,Second Class,CUST-7797,Priya Gupta,Corporate,India,Ahmedabad,Gujarat,West,537941,APAC,PRO-LEA-9623,Produce,Leafy Greens,Methi,Methi Leafy Greens,Online,SM114,Medium,Card,5,69.02,0.05,282.5,327.84,45.34,0,0
ORD-2022-000069,2022-04-30,2022-05-02,Same Day,CUST-5520,Sneha Patel,Corporate,India,Kolkata,West Bengal,East,586806,APAC,HOU-SHA-0993,Household,Shampoo,Dove,Dove Shampoo,Online,SM103,Medium,Card,2,321.66,0.0,426.64,643.32,216.68,0,0
ORD-2023-000070,2023-05-23,2023-05-25,Second Class,CUST-4538,Sneha Mondal,Consumer,India,Surat,Gujarat,West,264722,APAC,BAK-BUN-9081,Bakery,Buns,Britannia,Britannia Buns,Offline,SM125,Medium,COD,2,20.72,0.09,30.86,37.71,6.85,0,0
ORD-2024-000071,2022-07-29,2022-08-01,First Class,CUST-6869,Sneha Reddy,Corporate,India,Chennai,Tamil Nadu,South,449499,APAC,DAI-MIL-2160,Dairy,Milk,Amul,Amul Milk,Offline,SM125,Low,COD,5,132.91,0.14,414.2,571.51,157.31,0,0
ORD-2019-000072,2023-06-19,2023-06-20,Second Class,CUST-1710,Rohit Das,Corporate,India,Bengaluru,Karnataka,South,590293,APAC,PRO-POT-7406,Produce,Potatoes,Chipsona,Chipsona Potatoes,Offline,SM114,High,Card,2,64.81,0.05,104.04,123.14,19.1,0,0
ORD-2020-000073,2021-07-08,2021-07-09,Second Class,CUST-2076,Rahul Das,Home Office,India,Ahmedabad,Gujarat,West,684994,APAC,SNA-CHI-5278,Snacks,Chips,Lays,Lays Chips,Offline,SM129,Low,Card,1,24.55,0.0,16.43,24.55,8.12,0,0
ORD-2021-000074,2023-01-04,2023-01-08,Same Day,CUST-4743,Vikram Mondal,Consumer,India,Surat,Gujarat,West,585529,APAC,HOU-DET-7047,Household,Detergent,Ariel,Ariel Detergent,Online,SM125,Medium,Card,3,582.6,0.0,1241.82,1747.8,505.98,0,0
ORD-2022-000075,2024-12-27,2024-12-28,First Class,CUST-8075,Priya Mondal,Consumer,India,Kolkata,West Bengal,East,246436,APAC,SNA-CHI-1399,Snacks,Chips,Lays,Lays Chips,Online,SM121,Medium,UPI,4,103.17,0.0,302.56,412.68,110.12,0,0
ORD-2023-000076,2021-06-20,2021-06-22,Standard Class,CUST-6761,Priya Reddy,Home Office,India,Jaipur,Rajasthan,North,642061,APAC,SNA-POP-4713,Snacks,Popcorn,ACT II,ACT II Popcorn,Offline,SM124,Medium,UPI,2,68.4,0.0,80.76,136.8,56.04,0,0
ORD-2024-000077,2024-06-17,2024-06-19,First Class,CUST-5381,Amit Khan,Consumer,India,Hyderabad,Telangana,South,396545,APAC,PRO-POT-7031,Produce,Potatoes,Kufri,Kufri Potatoes,Offline,SM124,Medium,Card,4,16.97,0.0,49.68,67.88,18.2,0,0
ORD-2019-000078,2022-03-06,2022-03-07,Second Class,CUST-7163,Vikram Gupta,Home Office,India,Kolkata,West Bengal,East,467456,APAC,BEV-COF-1504,Beverages,Coffee,Nescafe,Nescafe Coffee,Online,SM112,Low,COD,3,147.09,0.0,292.89,441.27,148.38,0,0
ORD-2020-000079,2021-05-22,2021-05-26,Standard Class,CUST-8259,Vikram Gupta,Consumer,India,Kolkata,West Bengal,East,573517,APAC,DAI-GHE-1337,Dairy,Ghee,Amul,Amul Ghee,Offline,SM104,Low,UPI,1,233.45,0.0,184.39,233.45,49.06,0,0
ORD-2021-000080,2019-05-12,2019-05-14,Second Class,CUST-7475,Isha Sharma,Home Office,India,Jaipur,Rajasthan,North,118061,APAC,SNA-NAM-0745,Snacks,Namkeen,Balaji,Balaji Namkeen,Online,SM118,Medium,Card,1,167.65,0.0,121.8,167.65,45.85,0,1
ORD-2022-000081,2022-06-02,2022-06-04,Second Class,CUST-9196,Rohit Mondal,Corporate,India,Bengaluru,Karnataka,South,185577,APAC,SNA-BIS-6230,Snacks,Biscuits,Britannia,Britannia Biscuits,Offline,SM123,Low,Card,5,141.35,0.0,501.5,706.75,205.25,0,0
ORD-2023-000082,2023-01-11,2023-01-12,First Class,CUST-7636,Amit Mondal,Home Office,India,Pune,Maharashtra,West,290223,APAC,BAK-MUF-4744,Bakery,Muffins,ITC,ITC Muffins,Online,SM113,High,Wallet,3,33.99,0.0,82.95,101.97,19.02,0,0
ORD-2024-000083,2024-02-01,2024-02-05,Standard Class,CUST-4630,Neha Khan,Home Office,India,Kolkata,West Bengal,East,190090,APAC,BAK-BRE-5084,Bakery,Bread,Local Bakery,Local Bakery Bread,Online,SM112,Medium,NetBanking,6,156.2,0.0,762.0,937.2,175.2,0,0
ORD-2019-000084,2024-09-25,2024-09-27,Standard Class,CUST-4232,Rahul Reddy,Home Office,India,Jaipur,Rajasthan,North,270296,APAC,DAI-YOG-2400,Dairy,Yogurt,Amul,Amul Yogurt,Online,SM126,Medium,UPI,3,101.97,0.0,239.1,305.91,66.81,0,0
ORD-2020-000085,2019-12-29,2019-12-30,Second Class,CUST-8205,Priya Gupta,Home Office,India,Bengaluru,Karnataka,South,573689,APAC,BAK-MUF-5180,Bakery,Muffins,Modern,Modern Muffins,Offline,SM124,Medium,UPI,6,18.48,0.0,80.46,110.88,30.42,0,0
ORD-2021-000086,2019-12-22,2019-12-27,First Class,CUST-9307,Vikram Gupta,Corporate,India,Surat,Gujarat,West,691243,APAC,BEV-JUI-1258,Beverages,Juice,Paperboat,Paperboat Juice,Online,SM101,Medium,Card,1,100.94,0.0,79.44,100.94,21.5,0,0
ORD-2022-000087,2022-12-01,2022-12-02,Same Day,CUST-2695,Neha Patel,Corporate,India,Mumbai,Maharashtra,West,639058,APAC,SNA-NAM-1014,Snacks,Namkeen,Bikaji,Bikaji Namkeen,Online,SM119,Medium,NetBanking,3,19.26,0.02,35.88,56.62,20.74,0,0
ORD-2023-000088,2022-08-25,2022-08-27,First Class,CUST-6482,Priya Mondal,Corporate,India,Ahmedabad,Gujarat,West,209097,APAC,PRO-ONI-5544,Produce,Onions,Shallots,Shallots Onions,Offline,SM111,Medium,Card,3,28.21,0.0,66.93,84.63,17.7,0,0
ORD-2024-000089,2020-02-22,2020-02-27,Standard Class,CUST-7421,Rahul Reddy,Consumer,India,Chennai,Tamil Nadu,South,198835,APAC,BEV-ENE-5732,Beverages,Energy Drink,Monster,Monster Energy Drink,Offline,SM110,High,UPI,4,20.74,0.18,60.24,68.03,7.79,0,0
ORD-2019-000090,2021-09-29,2021-10-02,Standard Class,CUST-1298,Neha Das,Home Office,India,Kolkata,West Bengal,East,299020,APAC,BAK-BRE-8332,Bakery,Bread,Local Bakery,Local Bakery Bread,Offline,SM121,High,UPI,3,24.36,0.15,40.47,62.12,21.65,0,0
ORD-2020-000091,2021-12-22,2021-12-29,Second Class,CUST-7172,Rahul Khan,Corporate,India,Ahmedabad,Gujarat,West,299631,APAC,BEV-ENE-5518,Beverages,Energy Drink,Red Bull,Red Bull Energy Drink,Online,SM127,Low,Wallet,2,126.17,0.0,176.8,252.34,75.54,0,0
ORD-2021-000092,2024-09-10,2024-09-12,Second Class,CUST-9749,Sneha Das,Home Office,India,Bengaluru,Karnataka,South,601799,APAC,SNA-NAM-7356,Snacks,Namkeen,Balaji,Balaji Namkeen,Offline,SM107,Medium,COD,2,125.15,0.0,184.6,250.3,65.7,0,0
